player_id,player_team,team_name,season,career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
105,0,U Mumba,1,15,1,0,56,0,0,,10,Shabeer Bappu,89.91,67,67,6.7,16,,6.6,50,119,0,,51,1,0.1,3,2,0,,13,,1,66,1,12,12,0
105,0,U Mumba,2,10,1,0,63,1,0,,10,Shabeer Bappu,79.83,47,47,4.7,5,,4.6,41,124,0,,36,1,0.1,1,2,0,,6,,1,46,1,5,25,0
105,0,U Mumba,3,4,0,0,37,0,0,,10,Shabeer Bappu,71.64,13,13,1.3,1,,1.3,12,67,0,,11,0,0,0,0,0,,4,,0,13,0,4,19,0
105,0,Jaipur Pink Panthers,4,10,11,5,72,0,1,,12,Shabeer Bappu,90,35,35,2.91,6,,2,18,100,0,,18,6,0.5,0,1,5,,19,,11,24,11,13,10,0
105,0,U Mumba,8,13,3,1,57,0,0,,12,Shabeer Bappu,80.55,38,38,3.16,6,,2.91,29,108,0,,30,2,0.16,1,0,1,,14,,3,35,3,12,21,1
105,0,Dabang Delhi K.C.,26,5,0,0,11,0,0,,6,Shabeer Bappu,65.38,7,7,1.16,2,,1.16,5,26,0,,6,0,0,0,0,0,,7,,0,7,0,7,9,0
105,0,Tamil Thalaivas,49,5,7,1,64,0,0,,14,Shabeer Bappu,87.09,29,29,2.07,9,,1.57,13,93,0,,17,6,0.42,0,0,1,,22,,7,22,7,16,12,0
106,0,Bengal Warriors,3,7,0,0,11,0,0,,5,Shrikant Jadhav,57.14,10,10,2,0,,2,10,35,0,,9,0,0,0,0,0,,1,,0,10,0,1,15,0
106,0,Bengal Warriors,4,5,0,0,5,0,0,,5,Shrikant Jadhav,68.75,7,7,1.4,1,,1.4,6,16,0,,6,0,0,0,0,0,,3,,0,7,0,3,5,0
106,0,U Mumba,8,13,12,2,57,1,0,,19,Shrikant Jadhav,74.7,98,98,5.15,20,,4.52,66,170,0,,70,10,0.52,2,2,2,,22,,12,86,12,12,43,0
106,0,U.P. Yoddha,26,17,5,1,126,0,0,,25,Shrikant Jadhav,70.48,146,146,5.84,29,,5.64,112,332,0,,108,4,0.16,5,4,1,,11,,5,141,5,7,98,0
106,0,U.P. Yoddha,49,15,3,0,103,0,0,,18,Shrikant Jadhav,77.17,117,117,6.5,20,,6.33,94,241,0,,83,3,0.16,3,2,0,,8,,3,114,3,5,55,0
