career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
15,1,0,56,0,0,,10,Shabeer Bappu,89.91,105,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",67,67,6.7,16,,6.6,50,119,0,,1,"Pro Kabaddi League Season 1, 2014",55.46,51,1,0.1,3,2,0,,7.69,13,,1,66,1,12,12,0
10,1,0,63,1,0,,10,Shabeer Bappu,79.83,105,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",47,47,4.7,5,,4.6,41,124,0,,2,"Pro Kabaddi League Season 2, 2015",37.09,36,1,0.1,1,2,0,,16.66,6,,1,46,1,5,25,0
4,0,0,37,0,0,,10,Shabeer Bappu,71.64,105,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",13,13,1.3,1,,1.3,12,67,0,,3,"Pro Kabaddi League Season 3, 2016",19.4,11,0,0.0,0,0,0,,0.0,4,,0,13,0,4,19,0
10,11,5,72,0,1,,12,Shabeer Bappu,90.0,105,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",35,35,2.91,6,,2.0,18,100,0,,4,"Pro Kabaddi League Season 4, 2016",24.0,18,6,0.5,0,1,5,,57.89,19,,11,24,11,13,10,0
13,3,1,57,0,0,,12,Shabeer Bappu,80.55,105,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",38,38,3.16,6,,2.91,29,108,0,,8,"Pro Kabaddi League Season 5, 2017",32.4,30,2,0.16,1,0,1,,21.42,14,,3,35,3,12,21,1
5,0,0,11,0,0,,6,Shabeer Bappu,65.38,105,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",7,7,1.16,2,,1.16,5,26,0,,26,"Pro Kabaddi League Season 6, 2018",26.92,6,0,0.0,0,0,0,,0.0,7,,0,7,0,7,9,0
5,7,1,64,0,0,,14,Shabeer Bappu,87.09,105,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",29,29,2.07,9,,1.57,13,93,0,,49,"Pro Kabaddi League Season 7, 2019",23.65,17,6,0.42,0,0,1,,31.81,22,,7,22,7,16,12,0
7,0,0,11,0,0,,5,Shrikant Jadhav,57.14,106,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",10,10,2.0,0,,2.0,10,35,0,,3,"Pro Kabaddi League Season 3, 2016",28.57,9,0,0.0,0,0,0,,0.0,1,,0,10,0,1,15,0
5,0,0,5,0,0,,5,Shrikant Jadhav,68.75,106,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",7,7,1.4,1,,1.4,6,16,0,,4,"Pro Kabaddi League Season 4, 2016",43.75,6,0,0.0,0,0,0,,0.0,3,,0,7,0,3,5,0
13,12,2,57,1,0,,19,Shrikant Jadhav,74.7,106,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",98,98,5.15,20,,4.52,66,170,0,,8,"Pro Kabaddi League Season 5, 2017",50.58,70,10,0.52,2,2,2,,54.54,22,,12,86,12,12,43,0
